model,benchmark,category,count,denominator,percentage
DeepSeek-Prover-V2-7B,FATE-H,Syntax error,71,3914,1.814001
DeepSeek-Prover-V2-7B,FATE-H,Unresolved name,1023,3914,26.136944
DeepSeek-Prover-V2-7B,FATE-H,Type mismatch,658,3914,16.811446
DeepSeek-Prover-V2-7B,FATE-H,Missing instance,508,3914,12.979050
DeepSeek-Prover-V2-7B,FATE-H,Tactic failure,862,3914,22.023505
DeepSeek-Prover-V2-7B,FATE-H,Unsolved goals,586,3914,14.971896
DeepSeek-Prover-V2-7B,FATE-H,Termination failure,0,3914,0.000000
DeepSeek-Prover-V2-7B,FATE-H,Resource exhaustion,206,3914,5.263158
DeepSeek-Prover-V2-7B,FATE-M,Syntax error,59,8971,0.657675
DeepSeek-Prover-V2-7B,FATE-M,Unresolved name,1766,8971,19.685654
DeepSeek-Prover-V2-7B,FATE-M,Type mismatch,1322,8971,14.736373
DeepSeek-Prover-V2-7B,FATE-M,Missing instance,2122,8971,23.653996
DeepSeek-Prover-V2-7B,FATE-M,Tactic failure,2393,8971,26.674841
DeepSeek-Prover-V2-7B,FATE-M,Unsolved goals,1033,8971,11.514881
DeepSeek-Prover-V2-7B,FATE-M,Termination failure,0,8971,0.000000
DeepSeek-Prover-V2-7B,FATE-M,Resource exhaustion,276,8971,3.076580
DeepSeek-Prover-V2-7B,ProofNet,Syntax error,97,11300,0.858407
DeepSeek-Prover-V2-7B,ProofNet,Unresolved name,2022,11300,17.893805
DeepSeek-Prover-V2-7B,ProofNet,Type mismatch,2233,11300,19.761062
DeepSeek-Prover-V2-7B,ProofNet,Missing instance,1348,11300,11.929204
DeepSeek-Prover-V2-7B,ProofNet,Tactic failure,2593,11300,22.946903
DeepSeek-Prover-V2-7B,ProofNet,Unsolved goals,2450,11300,21.681416
DeepSeek-Prover-V2-7B,ProofNet,Termination failure,0,11300,0.000000
DeepSeek-Prover-V2-7B,ProofNet,Resource exhaustion,557,11300,4.929204
DeepSeek-Prover-V2-7B,Putnam,Syntax error,207,37665,0.549582
DeepSeek-Prover-V2-7B,Putnam,Unresolved name,3372,37665,8.952609
DeepSeek-Prover-V2-7B,Putnam,Type mismatch,4646,37665,12.335059
DeepSeek-Prover-V2-7B,Putnam,Missing instance,2186,37665,5.803797
DeepSeek-Prover-V2-7B,Putnam,Tactic failure,9463,37665,25.124121
DeepSeek-Prover-V2-7B,Putnam,Unsolved goals,8849,37665,23.493960
DeepSeek-Prover-V2-7B,Putnam,Termination failure,0,37665,0.000000
DeepSeek-Prover-V2-7B,Putnam,Resource exhaustion,8942,37665,23.740873
DeepSeek-Prover-V2-7B,miniF2F,Syntax error,17,4073,0.417383
DeepSeek-Prover-V2-7B,miniF2F,Unresolved name,211,4073,5.180457
DeepSeek-Prover-V2-7B,miniF2F,Type mismatch,265,4073,6.506261
DeepSeek-Prover-V2-7B,miniF2F,Missing instance,172,4073,4.222932
DeepSeek-Prover-V2-7B,miniF2F,Tactic failure,1975,4073,48.490056
DeepSeek-Prover-V2-7B,miniF2F,Unsolved goals,1427,4073,35.035600
DeepSeek-Prover-V2-7B,miniF2F,Termination failure,0,4073,0.000000
DeepSeek-Prover-V2-7B,miniF2F,Resource exhaustion,6,4073,0.147312
Goedel-32B,FATE-H,Syntax error,436,41748,1.044361
Goedel-32B,FATE-H,Unresolved name,16874,41748,40.418703
Goedel-32B,FATE-H,Type mismatch,7917,41748,18.963783
Goedel-32B,FATE-H,Missing instance,7319,41748,17.531379
Goedel-32B,FATE-H,Tactic failure,4798,41748,11.492766
Goedel-32B,FATE-H,Unsolved goals,4367,41748,10.460381
Goedel-32B,FATE-H,Termination failure,2,41748,0.004791
Goedel-32B,FATE-H,Resource exhaustion,35,41748,0.083836
Goedel-32B,FATE-M,Syntax error,390,31855,1.224298
Goedel-32B,FATE-M,Unresolved name,9670,31855,30.356302
Goedel-32B,FATE-M,Type mismatch,4884,31855,15.331973
Goedel-32B,FATE-M,Missing instance,8933,31855,28.042693
Goedel-32B,FATE-M,Tactic failure,4503,31855,14.135928
Goedel-32B,FATE-M,Unsolved goals,3468,31855,10.886831
Goedel-32B,FATE-M,Termination failure,2,31855,0.006278
Goedel-32B,FATE-M,Resource exhaustion,5,31855,0.015696
Goedel-32B,ProofNet,Syntax error,1365,51239,2.663986
Goedel-32B,ProofNet,Unresolved name,17675,51239,34.495209
Goedel-32B,ProofNet,Type mismatch,9158,51239,17.873104
Goedel-32B,ProofNet,Missing instance,8160,51239,15.925369
Goedel-32B,ProofNet,Tactic failure,7905,51239,15.427702
Goedel-32B,ProofNet,Unsolved goals,6971,51239,13.604871
Goedel-32B,ProofNet,Termination failure,5,51239,0.009758
Goedel-32B,ProofNet,Resource exhaustion,0,51239,0.000000
Goedel-32B,Putnam,Syntax error,893,118779,0.751816
