model,category,count,denominator,percentage
DeepSeek-Prover-V2-7B,Syntax error,451,65923,0.684131
DeepSeek-Prover-V2-7B,Unresolved name,8394,65923,12.733037
DeepSeek-Prover-V2-7B,Type mismatch,9124,65923,13.840390
DeepSeek-Prover-V2-7B,Missing instance,6336,65923,9.611213
DeepSeek-Prover-V2-7B,Tactic failure,17286,65923,26.221501
DeepSeek-Prover-V2-7B,Unsolved goals,14345,65923,21.760235
DeepSeek-Prover-V2-7B,Termination failure,0,65923,0.000000
DeepSeek-Prover-V2-7B,Resource exhaustion,9987,65923,15.149493
Goedel-32B,Syntax error,3106,249899,1.242902
Goedel-32B,Unresolved name,56793,249899,22.726381
Goedel-32B,Type mismatch,39031,249899,15.618710
Goedel-32B,Missing instance,31138,249899,12.460234
Goedel-32B,Tactic failure,44442,249899,17.783985
Goedel-32B,Unsolved goals,40041,249899,16.022873
Goedel-32B,Termination failure,9,249899,0.003601
Goedel-32B,Resource exhaustion,35339,249899,14.141313
Goedel-8B,Syntax error,5388,182067,2.959350
Goedel-8B,Unresolved name,31000,182067,17.026699
Goedel-8B,Type mismatch,28171,182067,15.472875
Goedel-8B,Missing instance,20987,182067,11.527075
Goedel-8B,Tactic failure,36956,182067,20.298022
Goedel-8B,Unsolved goals,34071,182067,18.713441
Goedel-8B,Termination failure,21,182067,0.011534
Goedel-8B,Resource exhaustion,25473,182067,13.991003
Kimina-Prover-Distill-8B,Syntax error,648,44140,1.468056
Kimina-Prover-Distill-8B,Unresolved name,9641,44140,21.841867
Kimina-Prover-Distill-8B,Type mismatch,6297,44140,14.265972
Kimina-Prover-Distill-8B,Missing instance,3679,44140,8.334844
Kimina-Prover-Distill-8B,Tactic failure,14256,44140,32.297236
Kimina-Prover-Distill-8B,Unsolved goals,9499,44140,21.520163
Kimina-Prover-Distill-8B,Termination failure,53,44140,0.120072
Kimina-Prover-Distill-8B,Resource exhaustion,67,44140,0.151790
Pythagoras-Prover-4B,Syntax error,3328,134020,2.483211
Pythagoras-Prover-4B,Unresolved name,28301,134020,21.116997
Pythagoras-Prover-4B,Type mismatch,23942,134020,17.864498
Pythagoras-Prover-4B,Missing instance,11796,134020,8.801671
Pythagoras-Prover-4B,Tactic failure,28383,134020,21.178182
Pythagoras-Prover-4B,Unsolved goals,37888,134020,28.270407
Pythagoras-Prover-4B,Termination failure,43,134020,0.032085
Pythagoras-Prover-4B,Resource exhaustion,339,134020,0.252947
