model,benchmark,original_count,excluded_resource_count,excluded_no_goals_count,eligible_denominator,selected_template_count,selected_count,coverage_percentage,cutoff_count
DeepSeek-Prover-V2-7B,FATE-H,3914,206,64,3644,4,1858,50.987925,356
DeepSeek-Prover-V2-7B,FATE-M,8971,276,249,8446,4,4853,57.459152,886
DeepSeek-Prover-V2-7B,ProofNet,11300,557,110,10633,4,5480,51.537666,868
DeepSeek-Prover-V2-7B,Putnam,37665,8942,97,28626,4,15473,54.052260,1972
DeepSeek-Prover-V2-7B,miniF2F,4073,6,11,4056,2,2416,59.566075,989
Goedel-32B,FATE-H,41748,35,1271,40442,4,23449,57.981801,4408
Goedel-32B,FATE-M,31855,5,912,30938,3,18193,58.804706,3468
Goedel-32B,ProofNet,51239,0,308,50931,4,26571,52.170584,4711
Goedel-32B,Putnam,118779,35218,462,83099,4,43332,52.145032,6336
Goedel-32B,miniF2F,6278,81,26,6171,3,3735,60.525036,806
Goedel-8B,FATE-H,15391,26,446,14919,4,8326,55.808030,1885
Goedel-8B,FATE-M,24327,19,569,23739,3,12671,53.376301,2838
Goedel-8B,ProofNet,27703,16,196,27491,5,15501,56.385726,1961
Goedel-8B,Putnam,106831,25368,382,81081,4,43777,53.991687,7193
Goedel-8B,miniF2F,7815,44,29,7742,2,4284,55.334539,1550
Kimina-Prover-Distill-8B,FATE-H,2371,1,179,2191,4,1286,58.694660,211
Kimina-Prover-Distill-8B,FATE-M,9105,3,450,8652,5,4933,57.015719,742
Kimina-Prover-Distill-8B,ProofNet,5798,3,37,5758,5,3222,55.956929,411
Kimina-Prover-Distill-8B,Putnam,21784,33,141,21610,4,12014,55.594632,1628
Kimina-Prover-Distill-8B,miniF2F,5082,27,29,5026,3,2828,56.267409,406
Pythagoras-Prover-4B,FATE-H,11424,4,59,11361,4,6617,58.243112,1415
Pythagoras-Prover-4B,FATE-M,18138,1,78,18059,4,10066,55.739520,1477
Pythagoras-Prover-4B,ProofNet,23164,22,144,22998,4,12093,52.582833,1924
Pythagoras-Prover-4B,Putnam,64329,246,347,63736,3,32913,51.639576,4837
Pythagoras-Prover-4B,miniF2F,16965,66,99,16800,2,8747,52.065476,2662
